date,birdName,count
2016-06-06,Acadian Flycatcher,14
2016-06-06,American Crow,9
2016-06-06,American Goldfinch,1
2016-06-06,American Robin,8
2016-06-06,American Woodcock,0
2016-06-06,Barred Owl,0
2016-06-06,Belted Kingfisher,1
2016-06-06,Black-and-white Warbler,0
2016-06-06,Black-throated Blue Warbler,0
2016-06-06,Black-throated Green Warbler,6
2016-06-06,Blue Jay,4
2016-06-06,Blue-gray Gnatcatcher,3
2016-06-06,Blue-headed Vireo,17
2016-06-06,Broad-winged Hawk,2
2016-06-06,Brown Thrasher,1
2016-06-06,Brown-headed Cowbird,1
2016-06-06,Carolina Chickadee,7
2016-06-06,Carolina Wren,9
2016-06-06,Cedar Waxwing,2
2016-06-06,Chimney Swift,0
2016-06-06,Chipping Sparrow,2
2016-06-06,Common Grackle,0
2016-06-06,Dark-eyed Junco,0
2016-06-06,Downy Woodpecker,2
2016-06-06,Eastern Bluebird,0
2016-06-06,Eastern Phoebe,3
2016-06-06,Eastern Screech-Owl,0
2016-06-06,Eastern Towhee,0
2016-06-06,Eastern Wood-Pewee,0
2016-06-06,Field Sparrow,0
2016-06-06,Golden-crowned Kinglet,0
2016-06-06,Great Blue Heron,0
2016-06-06,Great Crested Flycatcher,0
2016-06-06,Hairy Woodpecker,3
2016-06-06,Hooded Warbler,8
2016-06-06,Indigo Bunting,0
2016-06-06,Kentucky Warbler,1
2016-06-06,Louisiana Waterthrush,7
2016-06-06,Mourning Dove,0
2016-06-06,Northern Cardinal,8
2016-06-06,Northern Flicker,0
2016-06-06,Northern Parula,8
2016-06-06,Ovenbird,4
2016-06-06,Pileated Woodpecker,2
2016-06-06,Pine Warbler,0
2016-06-06,Red Crossbill,0
2016-06-06,Red-bellied Woodpecker,0
2016-06-06,Red-breasted Nuthatch,0
2016-06-06,Red-eyed Vireo,14
2016-06-06,Red-tailed Hawk,1
2016-06-06,Ruby-throated Hummingbird,1
2016-06-06,Ruffed Grouse,0
2016-06-06,Scarlet Tanager,1
2016-06-06,Summer Tanager,3
2016-06-06,Swainson's Thrush,0
2016-06-06,Tufted Titmouse,10
2016-06-06,Unknown Nuthatch,0
2016-06-06,Unknown Tanager,0
2016-06-06,White-breasted Nuthatch,3
2016-06-06,White-eyed Vireo,0
2016-06-06,Wild Turkey,0
2016-06-06,Wood Thrush,1
2016-06-06,Worm-eating Warbler,2
2016-06-06,Yellow-billed Cuckoo,0
2016-06-06,Yellow-throated Vireo,0
2016-06-06,Yellow-throated Warbler,6
2016-06-07,Acadian Flycatcher,5
2016-06-07,American Crow,4
2016-06-07,American Goldfinch,1
2016-06-07,American Robin,1
2016-06-07,American Woodcock,0
2016-06-07,Barred Owl,0
2016-06-07,Belted Kingfisher,0
2016-06-07,Black-and-white Warbler,1
2016-06-07,Black-throated Blue Warbler,0
2016-06-07,Black-throated Green Warbler,10
2016-06-07,Blue Jay,1
2016-06-07,Blue-gray Gnatcatcher,5
2016-06-07,Blue-headed Vireo,8
2016-06-07,Broad-winged Hawk,0
2016-06-07,Brown Thrasher,0
2016-06-07,Brown-headed Cowbird,1
2016-06-07,Carolina Chickadee,7
2016-06-07,Carolina Wren,9
2016-06-07,Cedar Waxwing,0
2016-06-07,Chimney Swift,0
2016-06-07,Chipping Sparrow,0
2016-06-07,Common Grackle,0
2016-06-07,Dark-eyed Junco,0
2016-06-07,Downy Woodpecker,1
2016-06-07,Eastern Bluebird,0
2016-06-07,Eastern Phoebe,0
2016-06-07,Eastern Screech-Owl,0
2016-06-07,Eastern Towhee,1
2016-06-07,Eastern Wood-Pewee,2
2016-06-07,Field Sparrow,0
2016-06-07,Golden-crowned Kinglet,0
2016-06-07,Great Blue Heron,0
2016-06-07,Great Crested Flycatcher,0
2016-06-07,Hairy Woodpecker,2
2016-06-07,Hooded Warbler,10
