,WHO report date,Day Reported,Total Cases Guinea,New Cases Guinea,Total Deaths Guinea,Total Cases Liberia,"New Case, Liberia",Total Deaths Liberia,Total Cases Sierra Leone,New Cases Sierra Leone,Total Deaths Sierra Leone,Total Cases,New Cases,Total Deaths
0,2014-03-25,0,86,86,59,0,0,0,0,0,0,86,86,59
1,2014-03-26,1,86,0,60,0,0,0,0,0,0,86,0,60
2,2014-03-27,2,103,17,66,8,8,6,6,6,5,117,31,77
3,2014-03-31,6,112,9,70,8,0,6,0,0,0,120,9,76
4,2014-04-01,7,122,10,80,8,0,2,0,0,0,130,10,82
5,2014-04-02,8,127,5,83,8,0,5,0,0,0,135,5,88
6,2014-04-07,13,151,24,95,18,10,7,0,0,0,169,34,102
7,2014-04-10,16,157,6,101,22,4,14,0,0,0,179,10,115
8,2014-04-17,23,197,40,122,27,5,13,0,0,0,224,45,135
9,2014-04-21,27,203,6,129,27,0,13,0,0,0,230,6,142
10,2014-04-23,29,208,5,136,34,7,11,0,0,0,242,12,147
11,2014-04-30,36,221,13,146,13,0,11,0,0,0,234,13,157
12,2014-05-05,41,231,10,155,13,0,11,0,0,0,244,10,166
13,2014-05-14,50,233,2,157,12,0,11,0,0,0,245,2,168
14,2014-05-23,59,258,25,174,12,0,9,0,0,0,270,25,183
15,2014-05-27,63,258,0,174,12,0,9,1,1,4,271,1,187
16,2014-05-28,64,281,23,186,12,0,9,16,15,5,309,38,200
17,2014-06-02,69,291,10,193,13,1,9,50,34,6,354,45,208
18,2014-06-05,72,344,53,215,13,0,9,81,31,7,438,84,231
19,2014-06-10,77,372,28,236,15,2,10,89,8,7,476,38,253
20,2014-06-11,78,376,4,241,15,0,10,117,28,19,508,32,270
21,2014-06-18,85,398,22,264,33,18,24,97,0,49,528,40,337
22,2014-06-24,91,390,-8,270,51,18,34,158,61,34,599,71,338
23,2014-07-02,99,413,23,303,107,56,65,239,81,99,759,160,467
24,2014-07-07,104,412,0,305,115,8,75,252,13,101,779,21,481
25,2014-07-08,105,408,0,307,131,16,84,305,53,127,844,69,518
26,2014-07-14,111,409,1,309,142,11,88,337,32,142,888,44,539
27,2014-07-16,113,406,0,304,172,30,105,386,49,192,964,79,601
28,2014-07-21,118,410,4,310,196,24,116,442,56,206,1048,84,632
29,2014-07-24,121,415,5,314,224,28,127,454,12,219,1093,45,660
30,2014-07-28,125,427,12,319,249,25,129,525,71,224,1201,108,672
31,2014-07-31,128,460,33,339,329,80,156,533,8,233,1322,121,728
32,2014-08-03,131,472,12,346,391,62,227,574,41,252,1437,115,825
33,2014-08-04,132,485,13,358,486,95,255,646,72,273,1617,180,886
34,2014-08-08,136,495,10,367,554,68,294,717,71,298,1766,149,959
35,2014-08-12,140,506,11,373,599,45,323,730,13,315,1835,69,1011
36,2014-08-13,141,510,4,377,670,71,355,783,53,334,1963,128,1066
37,2014-08-15,143,519,9,380,786,116,348,810,27,348,2115,152,1076
38,2014-08-19,147,543,24,394,834,48,466,848,38,365,2225,110,1225
39,2014-08-21,149,579,36,396,972,138,576,907,59,374,2458,233,1346
40,2014-08-22,150,607,28,406,1082,110,624,910,3,392,2599,141,1422
41,2014-08-28,156,648,41,430,1378,296,694,1026,116,422,3052,453,1546
42,2014-09-06,165,812,164,517,1871,493,1089,1261,235,491,3944,892,2097
43,2014-09-08,167,862,50,555,2046,175,1224,1361,100,509,4269,325,2288
44,2014-09-12,171,861,0,557,2081,35,1137,1424,63,524,4366,98,2218
45,2014-09-16,175,936,75,595,2407,326,1296,1620,196,562,4963,597,2453
46,2014-09-18,177,942,6,601,2710,303,1459,1673,53,562,5325,362,2622
47,2014-09-22,181,1008,66,632,3022,312,1578,1813,140,593,5843,518,2803
48,2014-09-24,183,1022,14,635,3280,258,1677,1940,127,597,6242,399,2909
49,2014-09-26,185,1074,52,648,3458,178,1830,2021,81,605,6553,311,3083
50,2014-10-01,190,1157,83,710,3696,238,1998,2304,283,622,7157,604,3330
51,2014-10-03,192,1199,42,739,3834,138,2069,2437,133,623,7470,313,3431
52,2014-10-08,197,1298,99,768,3924,90,2210,2789,352,879,8011,541,3857
53,2014-10-10,199,1350,52,778,4076,152,2316,2950,161,930,8376,365,4024
54,2014-10-15,204,1472,122,843,4249,173,2458,3252,302,1183,8973,597,4484
55,2014-10-17,206,1519,47,862,4262,13,2484,3410,158,1200,9191,218,4546
56,2014-10-22,211,1540,21,904,4665,403,2585,3706,296,1259,9911,720,4748
57,2014-10-25,214,1553,13,926,4665,0,2485,3896,190,1281,10114,203,4692
58,2014-10-29,218,1606,353,997,6535,1870,2413,4235,1339,1500,12376,3562,4910
59,2014-10-31,220,1667,0,1018,6535,0,2413,4338,103,1510,12540,103,4941
60,2014-11-05,225,1731,64,1041,6535,0,2697,4759,579,1070,13025,643,4808
61,2014-11-07,227,1760,29,1054,6619,94,2766,4862,103,1130,13241,226,4950
62,2014-11-12,232,1878,118,1142,6822,203,2836,5368,506,1169,14068,827,5147
63,2014-11-14,234,1919,41,1166,6878,56,2812,5586,218,1187,14383,315,5165
64,2014-11-19,239,1971,52,1192,7069,191,2964,6073,487,1250,15113,730,5406
65,2014-11-21,241,2047,76,1214,7082,13,2963,6190,117,1267,15319,206,5444
66,2014-11-26,246,2134,87,1260,7168,86,3016,6599,409,1398,15901,582,5674
67,2014-11-28,248,2155,21,1312,7635,467,3145,7109,510,1530,16899,998,5987
68,2014-12-03,253,2164,9,1327,7635,0,3145,7312,203,1583,17111,212,6055
69,2014-12-10,260,2292,128,1428,7719,84,3177,7897,585,1768,17908,797,6373
70,2014-12-17,267,2416,124,1525,7797,78,3290,8356,459,2085,18569,661,6900
71,2014-12-24,274,2597,181,1607,7862,65,3384,9004,648,2582,19463,894,7573
72,2014-12-31,281,2707,110,1708,8018,156,3423,9446,442,2758,20171,708,7889
73,2015-01-07,288,2775,68,1781,8157,139,3496,9780,334,2943,20712,541,8220
74,2015-01-14,295,2806,31,1814,8331,174,3538,10124,344,3062,21261,549,8414
75,2015-01-21,302,2871,65,1876,8478,147,3605,10340,216,3145,21689,428,8626
76,2015-01-28,309,2917,46,1910,8622,144,3686,10518,178,3199,22057,368,8795
77,2015-02-04,316,2975,58,1944,8745,123,3746,10740,222,3276,22460,403,8966
78,2015-02-11,323,3044,69,1995,8881,136,3826,10934,194,3341,22859,399,9162
79,2015-02-18,330,3108,64,2057,9007,126,3900,11103,169,3408,23218,359,9365
80,2015-02-25,337,3155,47,2091,9238,231,4037,11301,198,3461,23694,476,9589
81,2015-03-04,344,3219,64,2129,9249,11,4117,11466,165,3546,23934,240,9792
82,2015-03-11,351,3285,66,2170,9343,94,4162,11619,153,3629,24247,313,9961
83,2015-03-18,358,3389,104,2224,9526,183,4264,11751,132,3691,24666,419,10179
84,2015-03-25,365,3429,40,2263,9602,76,4301,11841,90,3747,24872,206,10311
85,2015-03-26,366,3459,30,2273,9602,0,4301,11866,25,3764,24927,55,10338
86,2015-03-27,367,3466,7,2276,9602,0,4301,11889,23,3773,24957,30,10350
