date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2020-01-29,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,1,1,1,0,,,,,,0,,0
2020-01-30,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,1,0,1,0,,,,,,0,,0
2020-01-31,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,3,4,3,,,,,,0,,0
2020-02-01,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,0,4,0,,,,,,0,,0
2020-02-02,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,0,4,0,,,,,,0,,0
2020-02-03,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,4,0,4,0,,,,,,0,,0
2020-02-04,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,2,6,2,,,,,,0,,0
2020-02-05,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,0,6,0,,,,,,0,,0
2020-02-06,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,0,6,0,,,,,,0,,0
2020-02-07,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,6,0,6,0,,,,,,0,,0
2020-02-08,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,7,1,7,1,,,,,,0,,0
2020-02-09,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,7,0,7,0,,,,,,0,,0
2020-02-10,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,7,0,7,0,,,,,,0,,0
2020-02-11,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,8,1,8,1,,,,,,0,,0
2020-02-12,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,8,0,8,0,,,,,,0,,0
2020-02-13,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,9,1,9,1,,,,,,0,,0
2020-02-14,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,9,0,9,0,,,,,,0,,0
2020-02-15,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,12,3,12,3,,,,,,0,,0
2020-02-16,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,12,0,12,0,,,,,,0,,0
2020-02-17,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,1,13,1,,,,,,0,,0
2020-02-18,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
2020-02-19,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
2020-02-20,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
2020-02-21,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,13,0,13,0,,,,,,0,,0
2020-02-22,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,14,1,14,1,,,,,,0,,0
2020-02-23,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,14,0,14,0,,,,,,0,,0
2020-02-24,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,14,0,14,0,,,,,,0,,0
2020-02-25,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,1,15,1,,,,,,0,,0
2020-02-26,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
2020-02-27,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
2020-02-28,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
2020-02-29,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
2020-03-01,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
2020-03-02,FL,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,15,0,15,0,,,,,,0,,0
2020-03-03,FL,,,,0,,,,,0,,,,0,,,,,,2,,2,0,,,,,,,19,4,19,4,,,,,,0,,0
2020-03-04,FL,,,,0,,,,,0,,,24.0,24,,,,,,3,,1,0,,,,,,,22,3,22,3,,,,,,0,,0
2020-03-05,FL,,,,0,,,,,0,,,31.0,7,,,,,,7,,4,0,,,,,,,41,19,41,19,,,,,,0,,0
2020-03-06,FL,,,,0,,,,,0,,,55.0,24,,,,,,8,,1,0,,,,,,,68,27,68,27,,,,,,0,,0
2020-03-07,FL,,,,0,,,,,0,,,100.0,45,,,,,,8,,0,0,,,,,,,116,48,116,48,,,,,,0,,0
