date,genus,count
2017-02-24,Anopheles,1
2017-03-01,Anopheles,2
2017-04-04,Culex,1
2017-04-05,Culex,1
2017-04-18,Culex,1
2017-05-02,Culex,2
2017-05-03,Anopheles,1
2017-05-03,Culex,6
2017-05-16,Aedes,4
2017-05-17,Aedes,9
2017-05-31,Aedes,10
2017-05-31,Anopheles,1
2017-05-31,Culex,2
2017-06-01,Aedes,12
2017-06-01,Anopheles,1
2017-06-01,Coquillettidia,1
2017-06-01,Culex,2
2017-06-01,Psorophora,1
2017-06-13,Aedes,9
2017-06-13,Anopheles,1
2017-06-13,Coquillettidia,1
2017-06-13,Culex,1
2017-06-13,Psorophora,1
2017-06-14,Aedes,2
2017-06-14,Coquillettidia,1
2017-06-14,Culex,1
2017-06-27,Aedes,8
2017-06-27,Anopheles,1
2017-06-27,Culex,4
2017-06-28,Aedes,4
2017-06-28,Coquillettidia,1
2017-06-28,Culex,1
2017-07-11,Aedes,7
2017-07-11,Anopheles,1
2017-07-11,Culex,2
2017-07-12,Aedes,2
2017-07-12,Anopheles,1
2017-07-12,Coquillettidia,1
2017-07-12,Culex,1
2017-07-25,Aedes,5
2017-07-25,Anopheles,3
2017-07-25,Culex,2
2017-07-26,Aedes,3
2017-07-26,Anopheles,1
2017-08-08,Aedes,6
2017-08-08,Anopheles,2
2017-08-08,Culex,4
2017-08-09,Aedes,2
2017-08-09,Anopheles,1
2017-08-09,Culex,1
2017-08-22,Aedes,9
2017-08-22,Coquillettidia,1
2017-08-22,Culex,6
2017-08-23,Aedes,6
2017-08-23,Anopheles,3
2017-08-23,Coquillettidia,1
2017-08-23,Culex,4
2017-09-06,Aedes,4
2017-09-06,Anopheles,1
2017-09-06,Culex,5
2017-09-07,Aedes,1
2017-09-07,Anopheles,2
2017-09-07,Culex,6
2017-09-19,Aedes,4
2017-09-19,Culex,8
2017-09-20,Aedes,6
2017-09-20,Anopheles,1
2017-09-20,Culex,5
2017-10-03,Aedes,7
2017-10-03,Culex,3
2017-10-04,Aedes,4
2017-10-04,Anopheles,1
2017-10-04,Culex,2
2017-10-24,Anopheles,1
2017-10-24,Culex,1
2017-11-01,Aedes,1
2018-05-22,Aedes,3
2018-05-22,Culex,2
2018-05-22,Orthopodomyia,1
2018-06-05,Aedes,13
2018-06-05,Anopheles,2
2018-06-05,Coquillettidia,1
2018-06-05,Culex,10
2018-06-05,Psorophora,2
2018-06-19,Aedes,6
2018-06-19,Anopheles,1
2018-06-19,Coquillettidia,2
2018-06-19,Culex,2
2018-06-19,Psorophora,1
2018-07-03,Aedes,35
2018-07-03,Anopheles,1
2018-07-03,Coquillettidia,1
2018-07-03,Culex,4
2018-07-03,Psorophora,1
2018-07-17,Aedes,6
2018-07-17,Anopheles,1
2018-07-17,Culex,2
2018-07-31,Aedes,14
2018-07-31,Anopheles,1
2018-07-31,Culex,2
2018-07-31,Psorophora,3
2018-08-14,Aedes,22
2018-08-14,Anopheles,2
2018-08-28,Aedes,12
2018-08-28,Coquillettidia,1
2018-08-28,Culex,5
2018-08-28,Psorophora,1
2018-09-11,Aedes,3
2018-09-11,Anopheles,1
2018-09-11,Culex,12
2018-09-25,Aedes,18
2018-09-25,Anopheles,2
2018-09-25,Culex,18
2018-09-25,Psorophora,1
2018-10-09,Aedes,12
2018-10-09,Culex,10
2018-10-09,Psorophora,1
2018-11-06,Aedes,3
2018-11-06,Culex,2
2018-11-21,Aedes,1
2019-04-10,Anopheles,1
2019-04-10,Culex,1
2019-04-23,Anopheles,1
2019-04-23,Culex,1
2019-05-08,Aedes,8
2019-05-08,Anopheles,1
2019-05-08,Culex,8
2019-05-21,Aedes,4
2019-05-21,Anopheles,1
2019-05-21,Culex,7
2019-05-21,Orthopodomyia,1
2019-06-04,Aedes,1
2019-06-04,Anopheles,1
2019-06-04,Coquillettidia,1
2019-06-04,Culex,5
2019-06-18,Aedes,3
2019-07-02,Aedes,14
2019-07-02,Coquillettidia,2
2019-07-16,Aedes,4
2019-07-16,Coquillettidia,1
2019-07-16,Culex,1
2019-07-30,Aedes,3
2019-07-30,Culex,2
2019-08-13,Aedes,4
2019-08-13,Anopheles,1
2019-08-13,Culex,3
2019-08-27,Anopheles,1
2019-08-27,Culex,4
2019-09-10,Aedes,2
2019-09-10,Culex,4
2019-09-24,Aedes,2
2019-09-24,Anopheles,1
2019-09-24,Culex,2
2019-10-09,Aedes,1
2019-10-23,Culex,1
