date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2020-03-02,NY,,,,0,,,,,0,,,,0,,,,,,0,,0,0,,,,,,,0,0,0,0,,,,,,0,,0
2020-03-03,NY,,,,0,,,,,0,,,,0,,,,,,1,,1,0,,,,,,,1,1,1,1,,,,,,0,,0
2020-03-04,NY,,,0.0,0,,,,,0,,,,0,,,,,,1,,0,0,,,,,,,10,9,10,9,,,,,,0,,0
2020-03-05,NY,,,,0,,,,,0,,,,0,,,,,,3,,2,0,,,,,,,30,20,30,20,,,,,,0,,0
2020-03-06,NY,,,,0,,,,,0,,,,0,,,,,,25,,22,0,,,,,,,122,92,122,92,,,,,,0,,0
2020-03-07,NY,,,,0,,,,,0,,,,0,,,,,,36,,11,0,,,,,,,188,66,188,66,,,,,,0,,0
2020-03-08,NY,,,,0,,,,,0,,,,0,,,,,,60,,24,0,,,,,,,388,200,388,200,,,,,,0,,0
2020-03-09,NY,,,,0,,,,,0,,,,0,,,,,,88,,28,0,,,,,,,695,307,695,307,,,,,,0,,0
2020-03-10,NY,,,,0,,,,,0,,,,0,,,,,,151,,63,0,,,,,,,1096,401,1096,401,,,,,,0,,0
2020-03-11,NY,,,,0,,,,,0,,,,0,,,,,,195,,44,0,,,,,,,1521,425,1521,425,,,,,,0,,0
2020-03-12,NY,,,,0,,,,,0,,,,0,,,,,,251,,56,0,,,,,,,2074,553,2074,553,,,,,,0,,0
2020-03-13,NY,,,,0,,,,,0,,,,0,,,,,,353,,102,0,,,,,,,2836,762,2836,762,,,,,,0,,0
2020-03-14,NY,,,,0,,,,,0,,,,0,,,,,,517,,164,0,,,,,,,4126,1290,4126,1290,,,,,,0,,0
2020-03-15,NY,,3.0,,3,,,,,0,,,,0,,,,,,648,,131,0,,,,,,,5419,1293,5419,1293,,,,,,0,,0
2020-03-16,NY,,7.0,,4,,,,,0,,,,0,,,,,,942,,294,0,,,,,,,7355,1936,7355,1936,,,,,,0,,0
2020-03-17,NY,,7.0,,0,,,,325.0,0,,,,0,,,,,,1374,,432,0,,,,,,,10262,2907,10262,2907,,,,,,0,,0
2020-03-18,NY,,12.0,,5,,,,416.0,0,,,,0,,,,,,2383,,1009,0,,,,,,,14815,4553,14815,4553,,,,,,0,,0
2020-03-19,NY,,12.0,,0,,,,617.0,0,,,,0,,,,,,4152,,1769,0,,,,,,,22513,7698,22513,7698,,,,,,0,,0
2020-03-20,NY,,35.0,,23,,,,1042.0,0,,,,0,,,,,,7102,,2950,0,,,,,,,32637,10124,32637,10124,,,,,,0,,0
2020-03-21,NY,,44.0,,9,,1531.0,1531.0,1436.0,1531,,,,0,,,,,,10356,,3254,0,,,,,,,45724,13087,45724,13087,,,,,,0,,0
2020-03-22,NY,,114.0,,70,,2354.0,2354.0,2043.0,823,,,,0,,,,,,15168,,4812,0,,,,,,,61753,16029,61753,16029,,,,,,0,,0
2020-03-23,NY,B,114.0,,0,,3125.0,3125.0,2629.0,771,,,,0,,,,,,20875,,5707,0,,,,,,,78565,16812,78565,16812,,,,,,0,,0
